timestamp,site,parameter,regime,trust,value,stage_m,status,imputation_method,n_raw,source_file,datum_assumed
2025-07-28 05:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 05:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 05:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 05:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 06:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 06:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 06:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 06:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 07:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 07:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 07:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 07:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 08:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 08:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 08:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 08:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 09:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 09:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 09:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 09:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 10:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 10:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 10:30:00,Kamand,depth,K_depth_A,ok,12.920482986226263,0.4395170137737363,observed,,1,depth_measurements_K.csv,True
2025-07-28 10:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 11:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 11:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 11:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 11:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 12:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 12:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 12:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 12:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 13:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 13:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 13:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 13:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 14:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 14:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 14:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 14:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 15:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 15:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 15:30:00,Kamand,depth,K_depth_A,ok,12.922238992134112,0.43776100786588756,observed,,1,depth_measurements_K.csv,True
2025-07-28 15:45:00,Kamand,depth,K_depth_A,ok,12.93072937296308,0.4292706270369191,interpolated,linear,0,,True
2025-07-28 16:00:00,Kamand,depth,K_depth_A,ok,12.939219753792049,0.4207802462079506,interpolated,linear,0,,True
2025-07-28 16:15:00,Kamand,depth,K_depth_A,ok,12.947710134621019,0.4122898653789804,interpolated,linear,0,,True
2025-07-28 16:30:00,Kamand,depth,K_depth_A,ok,12.956200515449988,0.4037994845500119,observed,,1,depth_measurements_K.csv,True
2025-07-28 16:45:00,Kamand,depth,K_depth_A,ok,12.956156864468829,0.40384313553117046,interpolated,linear,0,,True
2025-07-28 17:00:00,Kamand,depth,K_depth_A,ok,12.956113213487669,0.4038867865123308,interpolated,linear,0,,True
2025-07-28 17:15:00,Kamand,depth,K_depth_A,ok,12.95606956250651,0.40393043749348934,interpolated,linear,0,,True
2025-07-28 17:30:00,Kamand,depth,K_depth_A,ok,12.956025911525352,0.4039740884746479,observed,,1,depth_measurements_K.csv,True
2025-07-28 17:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 18:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 18:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 18:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 18:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 19:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 19:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 19:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 19:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 20:00:00,Kamand,depth,K_depth_A,ok,12.99314982085187,0.3668501791481287,observed,,1,depth_measurements_K.csv,True
2025-07-28 20:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 20:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 20:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 21:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 21:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 21:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 21:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 22:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 22:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 22:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 22:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 23:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 23:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 23:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-28 23:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 00:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 00:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 00:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 00:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 01:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 01:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 01:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
