site,parameter,regime,n,n_observed,n_interpolated,pct_observed,start,end,mean,std,min,p05,q1,median,q3,p95,max,iqr,skew
Kamand,depth,K_depth_A,1679,1558,121,92.8,2025-07-27 10:30:00,2025-09-12 00:15:00,1.3076,0.689,0.3196,0.5993,0.8244,1.0793,1.5731,2.9447,3.7183,0.7487,1.328
Kamand,velocity,Kamand_velocity,3286,3076,210,93.6,2025-06-28 16:15:00,2025-11-09 06:00:00,2.9042,2.6306,0.1657,0.6748,1.3635,1.6427,3.6634,8.0846,15.9773,2.2999,1.615
North,depth,N_depth_main,18972,18881,91,99.5,2025-01-07 00:00:00,2026-04-05 09:15:00,-8.7272,0.491,-10.1473,-9.6838,-8.9636,-8.5837,-8.5167,-7.9427,-6.6531,0.4469,-0.495
North,velocity,North_velocity,6573,6246,327,95.0,2025-06-24 07:15:00,2026-06-03 17:45:00,2.1161,1.213,0.0933,0.6287,1.0908,1.8708,3.0906,4.3252,5.0078,1.9998,0.433
