timestamp,method,reason,site,parameter,regime
2025-08-02 23:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 23:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 04:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 04:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 05:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 14:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 15:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 15:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 16:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 16:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 16:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 18:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 18:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 19:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 01:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 01:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 10:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 11:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 11:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 11:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 12:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 20:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-29 20:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 11:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 11:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 11:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 12:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 12:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 12:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 15:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 15:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-01 15:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-02 18:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-02 18:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-02 18:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-02 18:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-07 18:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-07 18:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-07 18:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-10 17:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-10 18:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-10 18:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-10 18:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-11 23:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-11 23:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-09-11 23:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-11-02 16:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-02 16:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-02 17:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-02 17:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-02 17:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-05 05:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-05 05:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-05 05:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-05 06:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-05 06:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-06 17:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-06 17:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-06 17:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-11-06 17:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_B
2025-07-26 16:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-26 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-26 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-26 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-26 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-26 20:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-27 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-27 20:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-28 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-28 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-28 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-28 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-29 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-29 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-29 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
